latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,fuente_sensor
-32.733,-64.93298,342.8,0.53,0.42,2012-01-24,1746,N,VIIRS,n,2,301.59,8.36,D,0,VIIRS_SNPP_SP
-31.44299,-64.3735,299.12,0.48,0.4,2012-01-25,504,N,VIIRS,n,2,286.73,1.14,N,0,VIIRS_SNPP_SP
-33.97207,-66.19148,330.4,0.39,0.6,2012-01-25,1727,N,VIIRS,l,2,300.79,0.92,D,0,VIIRS_SNPP_SP
-32.41838,-65.2197,331.2,0.63,0.72,2012-01-26,1708,N,VIIRS,n,2,294.83,2.79,D,0,VIIRS_SNPP_SP
-32.42552,-65.20713,339.69,0.34,0.56,2012-01-26,1849,N,VIIRS,n,2,304.76,2.65,D,0,VIIRS_SNPP_SP
-32.42217,-65.21601,330.05,0.34,0.56,2012-01-26,1849,N,VIIRS,l,2,300.94,2.75,D,0,VIIRS_SNPP_SP
-32.42041,-65.2088,334.39,0.34,0.56,2012-01-26,1849,N,VIIRS,n,2,301.03,2.65,D,0,VIIRS_SNPP_SP
-32.41706,-65.21769,336.97,0.34,0.56,2012-01-26,1849,N,VIIRS,n,2,300.17,3.04,D,0,VIIRS_SNPP_SP
-32.41618,-65.21408,356.37,0.34,0.56,2012-01-26,1849,N,VIIRS,n,2,302.34,3.04,D,0,VIIRS_SNPP_SP
-31.41398,-67.43905,346.2,0.54,0.51,2012-01-26,1849,N,VIIRS,n,2,311.93,14.34,D,0,VIIRS_SNPP_SP
-31.40937,-67.44051,347.19,0.54,0.51,2012-01-26,1849,N,VIIRS,n,2,312.01,17.66,D,0,VIIRS_SNPP_SP
-31.80488,-65.84666,340.49,0.54,0.42,2012-01-27,1830,N,VIIRS,l,2,311.92,5.36,D,0,VIIRS_SNPP_SP
-31.71442,-64.38844,330.77,0.41,0.37,2012-01-29,529,N,VIIRS,n,2,294.11,5.84,N,0,VIIRS_SNPP_SP
-31.7138,-64.39282,301.21,0.41,0.37,2012-01-29,529,N,VIIRS,n,2,289.27,7.03,N,0,VIIRS_SNPP_SP
-31.71096,-64.3878,328.89,0.41,0.37,2012-01-29,529,N,VIIRS,n,2,292.1,5.84,N,0,VIIRS_SNPP_SP
-33.93163,-65.90321,347.87,0.61,0.54,2012-01-30,1733,N,VIIRS,n,2,300.82,16.72,D,0,VIIRS_SNPP_SP
-33.92659,-65.90371,338.13,0.61,0.54,2012-01-30,1733,N,VIIRS,n,2,302.79,16.72,D,0,VIIRS_SNPP_SP
-33.92155,-65.9042,331.02,0.61,0.54,2012-01-30,1733,N,VIIRS,n,2,303.69,16.61,D,0,VIIRS_SNPP_SP
-33.91704,-65.91151,341.88,0.61,0.54,2012-01-30,1733,N,VIIRS,n,2,298.49,8.54,D,0,VIIRS_SNPP_SP
-33.91652,-65.90469,367,0.61,0.54,2012-01-30,1733,N,VIIRS,h,2,301.16,16.61,D,0,VIIRS_SNPP_SP
