fecha_reporte,nombre,provincia,fecha_inicio,estado,latitud,longitud,departamento,observaciones,,
3/08/2024,Ea La Colonia - Pozo Largo,San Luis,3/08/2024,Activo,32° 19' 14.56'' S,65° 56' 4.99'' O,Ayacucho,"Longitud: 65° 56' 4.99'' O, Latitud: 32° 19' 14.56'' S. Superficie: 650,00. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Tipo: rrhh. Subtipo: bomberos. Cantidad: 47. ] [ Tipo: rrhh. Subtipo: otros.",,
4/08/2024,Ea La Colonia - Pozo Largo,San Luis,3/08/2024,Controlado,32° 19' 14.56'' S,65° 56' 4.99'' O,Ayacucho,"Longitud: 65° 56' 4.99'' O, Latitud: 32° 19' 14.56'' S. Superficie: 1400,00. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Institución: snmf. Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. Cantidad: 2. ] Dto. Ayacucho",,
5/08/2024,Ea La Colonia - Pozo Largo,San Luis,3/08/2024,Extinguido (05/08/2024),32° 19' 14.56'' S,65° 56' 4.99'' O,Ayacucho,"Longitud: 65° 56' 4.99'' O, Latitud: 32° 19' 14.56'' S. Superficie: 1400,00. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Institución: snmf. Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. Cantidad: 2. ] Dto. Ayacucho",,
12/08/2024,3 Esquinas,San Luis,12/08/2024,Activo,32° 35' 19.20'' S,65° 54' 25.40'' O,Libertador General San Martín,"Longitud: 65° 54' 25.40'' O, Latitud: 32° 35' 19.20'' S. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Tipo: rrhh. Subtipo: bomberos. ] [ Tipo: rrhh. Subtipo: otros. ] Dto. Libertador Gral. San Martin",,
13/08/2024,3 Esquinas,San Luis,12/08/2024,Contenido,32° 35' 19.20'' S,65° 54' 25.40'' O,Libertador General San Martín,"Longitud: 65° 54' 25.40'' O, Latitud: 32° 35' 19.20'' S. Superficie: 1830,00. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Institución: otros. Tipo: rrhh. Subtipo: bomberos. ] [ Tipo: rrhh. Subtipo: plan_provincial_manejo_del_fuego. ] Dto. San Martín",,
14/08/2024,3 Esquinas,San Luis,12/08/2024,Contenido,32° 35' 19.20'' S,65° 54' 25.40'' O,Libertador General San Martín,"Longitud: 65° 54' 25.40'' O, Latitud: 32° 35' 19.20'' S. Superficie: 1830,00. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Tipo: rrhh. Subtipo: bomberos. ] [ Tipo: rrhh. Subtipo: otros. ] Dto. San Martín",,
15/08/2024,3 Esquinas,San Luis,12/08/2024,Extinguido (15/08 /2024),32° 35' 19.20'' S,65° 54' 25.40'' O,Libertador General San Martín,"Longitud: 65° 54' 25.40'' O, Latitud: 32° 35' 19.20'' S. Superficie: 1,83. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. También conocido bajo el nombre El Destino. Dpto San Martín",,
2/09/2024,Mesilla del Cura,San Luis,2/09/2024,Activo,32° 32' 47.76'' S,65° 48' 47.52'' O,Libertador General San Martín,"Latitud: 32° 32' 47.76'' S, Longitud: 65° 48' 47.52'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Tipo: rrhh. Subtipo: policia_provincial. ]",,
3/09/2024,Mesilla del Cura,San Luis,2/09/2024,Contenido,32° 32' 47.76'' S,65° 48' 47.52'' O,Libertador General San Martín,"Latitud: 32° 32' 47.76'' S, Longitud: 65° 48' 47.52'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/ Matorral: 33%. Pastizal: 34%. [ Tipo: rrhh. Subtipo: bomberos. Cantidad: 11. ]",,
3/09/2024,Paso Grande,San Luis,3/09/2024,Activo,32° 51' 12.63'' S,65° 43' 47.14'' O,Libertador General San Martín,"Latitud: 32° 51' 12.63'' S, Longitud: 65° 43' 47.14'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/ Matorral: 33%. Pastizal: 34%. [ Tipo: rrhh. Subtipo: bomberos. ] [ Institución: snmf. Institución: BNC. Tipo: rrhh. Cantidad: 9. ] [ Institución: snmf. Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. Cantidad: 1. ]",,
