fecha_reporte,nombre,provincia,fecha_inicio,estado,latitud,longitud,departamento,observaciones
12/02/2025,LA PUNTA,San Luis,12/02/2025,Extinguido (12/02/2025),33° 6' 9.79'' S,66° 11' 25.44'' O,Juan Martín de Pueyrredón,"Latitud: 33° 6' 9.79'' S, Longitud: 66° 11' 25.44'' O. - Depto.: Juan Martín de Pueyrredón. Pastizal: 100%. BB.VV. La Punta, Cuartel 2- BB. PL San Luís Quemado: 340 m2"
21/02/2025,Detecció 4 - Concaran,San Luis,21/02/2025,Activo,32° 34' 7.00'' S,65° 12' 36.80'' O,Chacabuco,"Latitud: 32° 34' 7.00'' S, Longitud: 65° 12' 36.80'' O. - Depto.: Chacabuco. [ Institución: otros. Institución: Polcía Ecológica y Ambiental. Tipo: rrhh. ]"
21/02/2025,Detección 1 - Unión,San Luis,21/02/2025,Activo,35° 40' 48.00'' S,65° 58' 12.00'' O,Gobernador Dupuy,"Latitud: 35° 40' 48.00'' S, Longitud: 65° 58' 12.00'' O. - Depto.: Gobernador Dupuy. [ Institución: otros. Institución: BB.VV. Unión. Tipo: rrhh. Subtipo: bomberos. ]"
21/02/2025,Detección 3 - Arizona,San Luis,21/02/2025,Activo,35° 45' 44.08'' S,65° 15' 58.79'' O,Gobernador Dupuy,"Latitud: 35° 45' 44.08'' S, Longitud: 65° 15' 58.79'' O. - Depto.: Gobernador Dupuy. [ Institución: otros. Institución: BB.VV. Buena Esperanza. Tipo: rrhh. Subtipo: bomberos. ]"
22/02/2025,Detecció 4 - Concaran,San Luis,21/02/2025,Contenido,32° 34' 7.00'' S,65° 12' 36.80'' O,Chacabuco,"Latitud: 32° 34' 7.00'' S, Longitud: 65° 12' 36.80'' O. - Depto.: Chacabuco. [ Institución: otros. Institución: Polcía Ecológica y Ambiental. Tipo: rrhh. ]"
22/02/2025,Detección 1 - Unión,San Luis,21/02/2025,Contenido,35° 40' 48.00'' S,65° 58' 12.00'' O,Gobernador Dupuy,"Latitud: 35° 40' 48.00'' S, Longitud: 65° 58' 12.00'' O. - Depto.: Gobernador Dupuy. [ Institución: otros. Institución: BB.VV. Unión. Tipo: rrhh. Subtipo: bomberos. ]"
22/02/2025,Detección 3 - Arizona,San Luis,21/02/2025,Contenido,35° 45' 44.08'' S,65° 15' 58.79'' O,Gobernador Dupuy,"Latitud: 35° 45' 44.08'' S, Longitud: 65° 15' 58.79'' O. - Depto.: Gobernador Dupuy. [ Institución: otros. Institución: BB.VV. Buena Esperanza. Tipo: rrhh. Subtipo: bomberos. ]"
23/02/2025,Detecció 4 - Concaran,San Luis,21/02/2025,Contenido,32° 34' 7.00'' S,65° 12' 36.80'' O,Chacabuco,"Latitud: 32° 34' 7.00'' S, Longitud: 65° 12' 36.80'' O. - Depto.: Chacabuco. [ Institución: otros. Institución: Polcía Ecológica y"
23/02/2025,Detección 1 - Unión,San Luis,21/02/2025,Contenido,35° 40' 48.00'' S,65° 58' 12.00'' O,Gobernador Dupuy,"Latitud: 35° 40' 48.00'' S, Longitud: 65° 58' 12.00'' O. - Depto.: Gobernador Dupuy. [ Institución: otros. Institución: BB.VV. Unión. Tipo: rrhh. Subtipo: bomberos. ]"
23/02/2025,Detección 2 - Los Cedros,San Luis,21/02/2025,Contenido,34° 7' 12.00'' S,65° 35' 60.00'' O,General Pedernera,"Latitud: 34° 7' 12.00'' S, Longitud: 65° 35' 60.00'' O. - Depto.: General Pedernera. [ Institución: otros. Institución: BB.VV. Justo Daract. Tipo: rrhh. Subtipo: bomberos. ]"
23/02/2025,Detección 3 - Arizona,San Luis,21/02/2025,Contenido,35° 45' 44.08'' S,65° 15' 58.79'' O,Gobernador Dupuy,"Latitud: 35° 45' 44.08'' S, Longitud: 65° 15' 58.79'' O. - Depto.: Gobernador Dupuy. [ Institución: otros. Institución: BB.VV. Buena Esperanza. Tipo: rrhh. Subtipo: bomberos. ]"
23/02/2025,Marrín de Loyola,San Luis,23/02/2025,Contenido,35° 15' 45.29'' S,66° 3' 40.32'' O,Gobernador Dupuy,"Latitud: 35° 15' 45.29'' S, Longitud: 66° 3' 40.32'' O. - Depto.: Gobernador Dupuy. [ Institución: otros. Institución: BB.VV. Unión, Buena Esperanza, Batavia, Justo Daract. Tipo: rrhh. Subtipo: bomberos. ]"
23/02/2025,Naschel,San Luis,23/02/2025,Extinguido (23/02 /2025),32° 59' 28.11'' S,65° 28' 52.34'' O,General Pedernera,"Latitud: 32° 59' 28.11'' S, Longitud: 65° 28' 52.34'' O. - Depto.: General Pedernera. [ Institución: otros. Institución: BB.VV. Naschel. Tipo: rrhh. Subtipo: bomberos. ]"
24/02/2025,Detecció 4 - Concaran,San Luis,21/02/2025,Contenido,32° 34' 7.00'' S,65° 12' 36.80'' O,Chacabuco,"Latitud: 32° 34' 7.00'' S, Longitud: 65° 12' 36.80'' O. - Depto.: Chacabuco. [ Institución: otros. Institución: BB.VV. Buena Esperanza. Tipo: rrhh. Subtipo: bomberos. ]"
24/02/2025,Detección 1 - Unión,San Luis,21/02/2025,Contenido,35° 40' 48.00'' S,65° 58' 12.00'' O,Gobernador Dupuy,"Latitud: 35° 40' 48.00'' S, Longitud: 65° 58' 12.00'' O. - Depto.: Gobernador Dupuy. [ Institución: otros. Institución: BB.VV. Unión. Tipo: rrhh. Subtipo: bomberos. ]"
24/02/2025,Detección 2 - Los Cedros,San Luis,21/02/2025,Contenido,34° 7' 12.00'' S,65° 35' 60.00'' O,General Pedernera,"Latitud: 34° 7' 12.00'' S, Longitud: 65° 35' 60.00'' O. - Depto.: General Pedernera. [ Institución: otros. Institución: BB.VV. Justo Daract. Tipo: rrhh. Subtipo: bomberos. ]"
